['436', '367', '242', '463', '112', '407', '344', '101', '69', '419', '110', '274', '80', '236', '363', '311', '497', '305', '449', '175', '388', '141', '132', '198', '201', '194', '247', '386', '412', '210', '97', '12', '91', '272', '445', '373', '249', '243', '361', '23', '326', '113', '102', '87', '300', '191', '482', '46', '333', '47']
['169', '103', '149', '492', '359', '318', '27', '209', '466', '491', '147', '50', '342', '262', '0', '423', '250', '299', '352', '108', '53', '170', '325', '245', '181', '499', '44', '115', '100', '378', '66', '264', '32', '384', '469', '228', '283', '298', '440', '73', '231', '269', '199', '293', '439', '416', '446', '467', '200', '396']
['456', '121', '229', '79', '122', '117', '282', '377', '21', '340', '106', '220', '63', '488', '403', '143', '447', '470', '248', '380', '223', '163', '157', '308', '202', '356', '266', '90', '164', '451', '322', '495', '162', '265', '172', '125', '279', '75', '413', '88', '480', '119', '167', '394', '420', '465', '360', '76', '389', '233']
['315', '259', '128', '234', '174', '478', '99', '14', '438', '306', '205', '408', '288', '25', '350', '426', '276', '246', '390', '182', '105', '235', '203', '237', '374', '184', '323', '20', '441', '398', '415', '238', '273', '418', '221', '302', '40', '341', '224', '405', '309', '395', '427', '168', '369', '400', '127', '476', '152', '26']
['409', '15', '68', '138', '1', '187', '450', '324', '130', '402', '271', '337', '490', '455', '34', '81', '153', '140', '212', '71', '343', '310', '36', '457', '354', '48', '307', '330', '9', '185', '391', '414', '285', '289', '284', '461', '217', '22', '43', '3', '430', '74', '462', '464', '375', '60', '214', '431', '30', '232']
['208', '109', '156', '397', '379', '496', '493', '275', '314', '473', '28', '327', '144', '267', '252', '459', '151', '444', '183', '458', '8', '94', '207', '376', '179', '437', '42', '160', '107', '304', '362', '294', '474', '11', '494', '57', '52', '4', '472', '338', '150', '64', '49', '139', '38', '312', '277', '399', '219', '2']
['61', '368', '120', '411', '206', '158', '6', '104', '328', '45', '16', '59', '13', '159', '54', '193', '392', '24', '17', '230', '498', '468', '178', '196', '453', '154', '256', '421', '37', '477', '321', '404', '145', '317', '111', '188', '425', '58', '481', '433', '297', '428', '295', '278', '371', '347', '213', '336', '329', '133']
['96', '270', '190', '192', '291', '435', '85', '77', '410', '39', '55', '67', '225', '251', '286', '422', '334', '227', '116', '35', '92', '126', '355', '146', '296', '479', '358', '70', '165', '434', '83', '471', '385', '131', '204', '136', '19', '89', '483', '486', '65', '339', '186', '452', '257', '218', '244', '33', '176', '372']
['487', '393', '429', '253', '216', '370', '95', '51', '346', '215', '484', '137', '56', '177', '258', '303', '148', '331', '345', '290', '72', '460', '255', '365', '241', '401', '280', '443', '195', '260', '197', '173', '432', '292', '261', '364', '166', '41', '332', '239', '353', '454', '254', '62', '118', '349', '475', '142', '114', '351']
['211', '78', '387', '240', '226', '84', '29', '383', '93', '31', '381', '222', '82', '417', '135', '155', '129', '86', '263', '10', '124', '287', '320', '442', '319', '424', '489', '98', '301', '448', '268', '348', '134', '5', '281', '123', '406', '316', '180', '7', '366', '189', '313', '357', '485', '18', '161', '171', '382', '335']
